period;format;download_path;path;inputs_folder;data_folder;ft_escola;ft_escola_em_e_emprof;ft_escola_educprof;ft_escola_ind;ft_escola_desporto;ft_escola_em8;ft_escola_em11;ft_escola_es6;ft_ind_reg;ft_turma;ft_docente;ft_matricula
1995;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar1995.zip;micro_censo_escolar1995;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_CURSO.SAS&DADOS_CURSO.txt;NA;NA;INPUT_SAS_DESPORTO.SAS&DADOS_DESP.txt;NA;NA;NA;NA;NA;NA;NA
1996;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar1996.zip;micro_censo_escolar1996;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSO96.txt;NA;NA;NA;NA;INPUT_SAS_EM8.SAS& DADOS_EM8.txt;INPUT_SAS_EM11.SAS&DADOS_EM11.txt;INPUT_SAS_ES6.SAS&DADOS_ES6.txt;NA;NA;NA;NA
1997;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar1997.zip;micro_censo_escolar1997;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_EM12.SAS&DADOS_EM12.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar1998.zip;micro_censo_escolar1998;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_EM12.SAS&DADOS_EM12.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar1999.zip;micro_censo_escolar1999;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;NA;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar2000.zip;micro_censo_escolar2000;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;NA;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2001;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar2001.zip;micro_censo_escolar2001;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2002;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar2002.zip;micro_censo_escolar2002;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2003;fwf;http://download.inep.gov.br/microdados/micro_censo_escolar2003.zip;micro_censo_escolar2003/MicrodCenso Escolar2003;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2004;fwf;http://download.inep.gov.br/microdados/microdados_censo_escolar_2004.zip;microdados_censo_escolar_2004/MicrodCenso Escolar2004;INPUTS_SAS_SPSS;DADOS;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;NA;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
