period;format;download_path;path;inputs_folder;data_folder;ft_graduacao_presencial;ft_ies;ft_graduacao_distancia;ft_sequenciais_comple_pres;ft_sequenciais_forme_dis;ft_sequenciais_forme_pres;ft_local;ft_aluno;ft_docente;ft_sequenciais_comple_dis;BIBLIOTECA;ft_vagas_ead
1995;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior1995.zip;micro_censo_edu_superior1995;INPUT_SAS_SPSS;DADOS;INPUT_GRADUACAO_PRESENCIAL_SAS_1995.sas&GRADUACAO_PRESENCIAL_SUP_95.txt;INPUT_INSTITUICAO_SAS_1995.sas&INSTITUICAO_SUP_95.txt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior1996.zip;micro_censo_edu_superior1996;INPUT_SAS_SPSS;DADOS;INPUT_GRADUACAO_PRESENCIAL_SAS_1996.sas&GRADUACAO_PRESENCIAL_96.txt;INPUT_INSTITUICAO_SAS_1996.sas&INSTITUICAO_SUP_96.txt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior1997.zip;micro_censo_edu_superior1997;INPUT_SAS_SPSS;DADOS;INPUT_GRADUACAO_PRESENCIAL_SUP_1997.sas&GRADUACAO_PRESENCIAL_SUP_97.txt;INPUT_INSTITUICAO_SUP_1997.sas&INSTITUICAO_SUP_97.txt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior1998.zip;micro_censo_edu_superior1998;Inputs;Dados;CURSO_SUPERIOR_98.sas&curso_superior_98.txt;IES_SUPERIOR_98.sas&ies_superior_98.txt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior1999.zip;micro_censo_edu_superior1999;Inputs;Dados;CURSO_SUPERIOR_99.sas&curso_superior_99.txt;IES_SUPERIOR_99.sas&ies_superior_99.txt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior2000.zip;micro_censo_edu_superior2000;Inputs_SAS_SPSS;DADOS;INPUT_GRADUACAO_PRESENCIAL_SAS_2000.SAS&GRADUACAO_PRESENCIAL.txt;INPUT_INSTITUICOES_SAS_2000.sas&INSTITUICOES.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2000.SAS&Graduacao_Distancia.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2000.SAS&SEQUENCIAIS_COMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2000.SAS&FORMACAO_ESP_DISTANCIA.txt;INPUT_SEQUENCIAIS_FORME_PRES_SAS_2000.sas&FORMACAO_ESP_PRESENCIAL.txt;NA;NA;NA;INPUT_SEQUENCIAIS_COMPLE_DIS_SAS_2000.SAS&SEQUENCIAIS_COMPLE_DIS.txt;NA;NA
2001;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior2001.zip;micro_censo_edu_superior2001;INPUTS_SAS_SPSS;DADOS;INPUT_GRADUACAO_PRESENCIAL_SAS_2001.SAS&GRADUACAO_PRESENCIAL.txt;INPUT_INSTITUICOES_SAS_2001.sas&INSTITUICOES.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2001.SAS&Graduacao_Distancia.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2001.SAS&SEQUENCIAIS_COMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2001.SAS&FORMACAO_ESP_DISTANCIA.txt;INPUT_SEQUENCIAiS_FORME_PRES_SAS_2001.sas&FORMACAO_ESP_PRESENCIAL.txt;NA;NA;NA;NA;NA;NA
2002;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior2002.zip;micro_censo_edu_superior2002;Inputs_SAS_SPSS_2002;DADOS;INPUT_GRADUACAO_PRESENCIAL_SAS_2002.SAS&GRADUACAO_PRESENCIAL.txt;INPUT_INSTITUICOES_SAS_2002.sas&INSTITUICOES.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2002.SAS&Graduacao_Distancia.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2002.SAS&SEQUENCIAIS_COMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2002.SAS&FORMACAO_ESP_DISTANCIA.txt;INPUT_SEQUENCIAiS_FORME_PRES_SAS_2002.sas&FORMACAO_ESP_PRESENCIAL.txt;NA;NA;NA;NA;NA;NA
2003;fwf;http://download.inep.gov.br/microdados/micro_censo_edu_superior2003.zip;micro_censo_edu_superior2003;Inputs_SAS_SPSS_2003;Dados;INPUT_GRADUACAO_PRESENCIAL_SAS_2003.SAS&GRADUACAO_PRESENCIAL.txt;INPUT_INSTITUICOES_SAS_2003.sas&INSTITUICOES.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2003.SAS&Graduacao_Distancia.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2003.SAS&SEQUENCIAIS_COMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2003.SAS&FORMACAO_ESP_DISTANCIA.txt;INPUT_SEQUENCIAiS_FORME_PRES_SAS_2003.sas&FORMACAO_ESP_PRESENCIAL.txt;NA;NA;NA;NA;NA;NA
2004;fwf;http://download.inep.gov.br/microdados/microdados_censo_educacao_superior_2004.zip;microdados_censo_educacao_superior_2004;INPUTS_SAS_SPSS;DADOS;INPUT_GRADUACAO_PRESENCIAL_SAS_2004.SAS&GRADUACAO_PRESENCIAL_2004.txt;INPUT_INSTITUICOES_SAS_2004.sas&INSTITUICOES.txt;INPUT_GRADUACAO_DISTANCIA_SAS_2004.SAS&Graduacao_Distancia.txt;INPUT_SEQUENCIAIS_COMPLE_PRES_SAS_2004.SAS&SEQUENCIAIS_COMPLE_PRESENCIAL.txt;INPUT_SEQUENCIAIS_FORME_DISTANCIA_SAS_2004.SAS&FORMACAO_ESP_DISTANCIA.txt;INPUT_SEQUENCIAiS_FORME_PRES_SAS_2004.sas&FORMACAO_ESP_PRESENCIAL.txt;NA;NA;NA;NA;NA;NA
